FID,FIPS,CNTYKEY,FENAME,anglo,asian,hisp,total,vap,black,bh,nanglo,anglovap,hispvap,bhvap,blackvap,asianvap,nanglovap,Shape_Leng,Shape_Area
101,203,102,HARRISON,42039,718,9839,68839,51865,14553,24107,26800,33128,6012,16669,10766,482,18737,260347.147617999988142,2363024094.340000152587891
102,205,103,HARTLEY,3403,39,1631,5382,4222,249,1861,1979,2700,1219,1433,230,34,1522,254537.267408000014257,3798594973.449999809265137
103,207,104,HASKELL,3628,43,1377,5416,4332,268,1599,1788,3005,997,1175,192,23,1327,193866.171516000002157,2350373462.619999885559082
104,209,105,HAYS,121568,10226,92871,241067,185523,13050,103966,119499,98950,65543,74214,9649,8059,86573,186451.659683000005316,1751290309.130000114440918
105,211,106,HEMPHILL,2090,39,1137,3382,2396,29,1156,1292,1621,687,691,8,20,775,194754.575947000004817,2368154774.320000171661377
106,213,107,HENDERSON,61854,794,11242,82150,64930,5694,16696,20296,50809,7234,11245,4102,578,14121,305329.017785999982152,2446758906.480000019073486
107,215,108,HIDALGO,53338,10696,800001,870781,608225,7102,803897,817443,45107,549880,552885,4605,8002,563118,346173.997658999986015,4110201539.030000209808350
108,217,109,HILL,24123,278,7884,35874,27486,2527,10291,11751,19682,4990,6656,1693,181,7804,259122.914435000013327,2542604134.469999790191650
109,219,110,HOCKLEY,9752,97,10624,21537,15937,803,11295,11785,7949,7088,7591,542,69,7988,193823.056432000012137,2347349291.489999771118164
110,221,111,HOOD,49815,755,7958,61598,49209,931,8774,11783,41276,5137,5632,544,517,7933,140116.043746000010287,1127069073.890000104904175
111,223,112,HOPKINS,25976,420,6484,36787,27871,2847,9237,10811,20634,4077,6038,1991,297,7237,235011.418053000001237,2046928421.490000009536743
112,225,113,HOUSTON,12957,186,3071,22066,17886,5462,8439,9109,10917,2207,6447,4292,132,6969,318315.379409999994095,3189117187.559999942779541
113,227,114,HOWARD,15672,561,16174,34860,26862,2113,17929,19188,12658,11985,13219,1401,395,14204,193181.000482000003103,2332803328.400000095367432
114,229,115,HUDSPETH,1094,22,2036,3202,2667,29,2049,2108,1031,1576,1587,15,20,1636,516910.531863000011072,11790045032.899999618530273
115,231,116,HUNT,65598,1552,19673,99956,76143,9374,28642,34358,52762,12378,19020,6822,1125,23381,209705.687734000006458,2277311539.420000076293945
116,233,117,HUTCHINSON,13783,200,4961,20617,15430,757,5589,6834,10917,3153,3563,432,137,4513,192895.062139999994542,2323504105.639999866485596
117,235,118,IRION,1112,23,349,1513,1184,30,369,401,882,262,272,15,13,302,208429.575795000011567,2712090815.639999866485596
118,237,119,JACK,6358,72,1521,8472,6649,350,1836,2114,5135,1029,1316,306,40,1514,196298.913579999993090,2375999763.489999771118164
119,239,120,JACKSON,8510,228,4829,14988,11340,1186,5877,6478,6899,3282,4012,767,146,4441,231628.394092000002274,2213182126.900000095367432
120,241,121,JASPER,23795,193,2198,32980,25539,5950,8107,9185,19005,1456,5694,4263,128,6534,385039.132683000003453,2501014877.940000057220459
121,243,122,JEFF DAVIS,1282,39,613,1996,1711,28,627,714,1164,463,472,18,27,547,338854.370852999971248,5840847559.189999580383301
122,245,123,JEFFERSON,96047,11256,58915,256526,195680,88504,145686,160479,80230,39717,104087,65254,8416,115450,303131.728688000002876,2871056645.619999885559082
123,247,124,JIM HOGG,414,36,4281,4838,3516,11,4287,4424,335,3077,3081,8,29,3181,239258.806795000011334,2945379695.780000209808350
124,249,125,JIM WELLS,6963,216,30835,38891,28630,414,31082,31928,5695,22115,22288,249,140,22935,258623.351936999999452,2248030030.079999923706055
125,251,126,JOHNSON,119226,2852,42613,179927,133965,8888,50684,60701,93594,27491,32984,5814,1951,40371,184578.217021999997087,1894127077.230000019073486
126,253,127,JONES,11485,158,5504,19663,16187,2187,7599,8178,9555,4302,6222,1963,107,6632,197887.938755000010133,2418618550.019999980926514
127,255,128,KARNES,5388,196,7734,14710,11855,1265,8910,9322,4614,5805,6892,1141,160,7241,204110.449936999997590,1946438185.869999885559082
128,257,129,KAUFMAN,78626,3026,36165,145310,103646,24448,59668,66684,60951,22171,37561,15754,2045,42695,204567.374442000000272,2084088452.589999914169312
129,259,130,KENDALL,31767,743,10029,44279,34179,603,10509,12512,25680,6743,7038,354,510,8499,165562.505487999995239,1710742691.619999885559082
130,261,131,KENEDY,73,10,261,350,267,12,264,277,60,202,202,6,5,207,301531.254198000009637,5045537584.949999809265137
131,263,132,KENT,657,9,81,753,608,11,86,96,532,63,68,10,6,76,192482.667673999996623,2331418548.639999866485596
