cntyvtd,district_id,dem_share,rep_share,pct_white,pct_black,pct_asian,pct_hispanic,polsby_popper,convex_hull_ratio,schwartzberg,reock
20100404,1,0.4515003489183531,0.5143056524773203,0.7426067699766289,0.111171970326936,0.010952902597268964,0.1248630994943024,0.14424359604858344,0.6060343520229469,2.6330052770133023,0.23371168102680984
20100405,1,0.33405172413793105,0.6434729064039408,0.677323418949584,0.09368029740509802,0.01635687755248249,0.18513011220241535,0.3353112489361746,0.6610897503717468,1.7269347887384234,0.3441926043574309
20100416,1,0.5668156979632389,0.3944361649279682,0.6462848303491572,0.07043343920966665,0.006191950984663999,0.2616099023967099,0.26271146960031344,0.8295419648893088,1.951014436976795,0.31523178241641614
20100417,1,0.5290933694181326,0.45331529093369416,0.5877367902936759,0.11714855381896666,0.003988035921597858,0.2587238285522464,0.5244622122127067,0.9038840144881123,1.380838536179913,0.45120215135494773
20100418,1,0.5886901884968584,0.39052682455292415,0.6887159532334605,0.1214007780397719,0.0003891050692120759,0.16264591456459684,0.2695671527008107,0.7893634976825936,1.926045374954735,0.5642658247498193
20200001,1,0.0,0.0,0.8555447460434605,0.05593385324123532,0.01848249019367695,0.037451361681637284,0.1290916052986107,0.645957729545917,2.78324219130824,0.34325759095553043
20200002,1,0.0,0.0,0.9324236517046961,0.014294996750189984,0.0025990903490077646,0.024691358027968825,0.38831044547640736,0.8634905317244864,1.6047613774412217,0.4691746139446447
20200003,1,0.0,0.0,0.6460317450568209,0.2777777782360347,0.003174603104423808,0.04444444513810138,0.18573983798533883,0.6150804202627512,2.3203177846736063,0.3160757366150475
20200004,1,0.0,0.0,0.9559999987722008,0.0040000002595134325,3.1842503103709446e-12,0.015999999876763052,0.2580375577515975,0.8494515521329453,1.9686047950711623,0.46547853290687935
20200005,1,0.0,0.0,0.9170616115684335,0.04107424933852244,0.0015797789555321217,0.02132701431383778,0.1345255270539911,0.7586526096087416,2.726450698451654,0.2878203538557532
20200006,1,0.0,0.0,0.8494382023238066,0.0662921348341318,0.008988764063143475,0.03539325840198196,0.2866955055873305,0.7945752566994215,1.8676244791179315,0.5106008345883292
